28 21
1234567890|abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ%|/|*|<|>|=|!|{|}|[|]|(|)|;|,|-|+| |$|
1	2	3	8	9	11	13	15	18	17	20	19	22	21	24	23	25	26	0	100	0
1	27	0	0	0	0	0	0	27	27	27	0	0	0	0	0	0	0	0	100	0
2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0
0	0	27	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0
5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	100	5
5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	100	5
5	5	7	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	100	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0
0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	100	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0
0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	100	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0
0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	100	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0
0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	100	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
